48.134	-109.533
48.132	-109.727
48.22	-109.7259
48.22	-109.844
48.3	-109.846
48.3	-110.625
48.22	-110.625
48.22	-110.756
48.22	-110.762
48.13	-110.827
48.13	-111.409
47.698	-111.409
47.698	-110.977
47.681	-110.984
47.68	-110.993
47.669	-111
47.659	-111
47.651	-111.02
47.635	-111.03
47.6159	-111.04
47.598	-111.05
47.59	-111.03
47.576	-111.01
47.575	-110.97
47.55	-110.94
47.52	-110.86
47.52	-110.768
47.446	-110.768
47.446	-110.641
47.416	-110.639
47.4179	-110.164
47.479	-110.028
47.534	-109.865
47.543	-109.8477
47.716	-109.829
47.702	-109.724
47.7476	-109.582
47.739	-109.5411
48.134	-109.533
